【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.557809331	0.583216783	0.649491763	0.333725721	0.890464392	0.11574476	0.509818482	0.42555419	0.203109328	0.159435442	0.175449735	0.233958708
0.740365112	0.646153846	0.697394555	0.884112503	0.875205456	0.138824265	0.552475248	0	0.090772317	0.065865133	0.077460317	0.110275382
0.551724138	0.232167832	0.356350041	0.948015639	0.806613841	0.11574476	0.842079208	0.42555419	0.074222668	0.083115525	0.019470899	0.097095051
0.713995943	0.461678322	0.548545391	0.321806945	0.78291588	0.199057838	0.54859736	0.816377623	0.163991976	0.17302666	0.536296296	0.240573676
0.505070994	0.275524476	0.384273864	1	0.81964036	0.11574476	0.566831683	0.42555419	0.019057172	0.006795609	1	0.092502235
0.52535497	0.686713287	0.734782101	0.007273186	0.842307975	0.11574476	0.812623762	0.42555419	1	1	0.022433862	0.947265505
0.745436105	0.53986014	0.610935857	0.715294711	0.790766136	0.160109726	0.695132013	0.690336383	0.085255767	0.082070047	0.208042328	0.124933617
0.456389452	0.72027972	0.758149317	0.280059699	0.82704904	0.11574476	0.64950495	0.42555419	0.30892678	0.315734449	0.020529101	0.329930454
0.436105477	0.226573427	0.352728122	0.96527369	0.789147021	0.11574476	0.853465347	0.42555419	0	0.016727653	0.077460317	0.095526806
0.507099391	0	0.164622035	0	0.804724873	0.11574476	0.412293729	0.42555419	0	0	0.022222222	0.096209021
0.537525355	0.227412587	0.353896483	0.748192214	0.809140642	0.11574476	0.581435644	0.42555419	0.038114343	0.041296393	0.134391534	0.121460568
0.559837728	0	0.164622035	0	0.811716508	0.11574476	0.412293729	0.42555419	0.066198596	0.065342394	0.129100529	0.089119582
0.93306288	0	0.164622035	0	0.780757059	0.11574476	0.412293729	0.42555419	0.057673019	0.024046001	0.28994709	0.094466199
0.547667343	0.500699301	0.551349457	0.83671067	0.855113706	0.11574476	0.767574257	0.42555419	0.094784353	0.099843178	0.012910053	0.120315545
0.334685598	0.042517483	0.158897067	0.620701253	0.547015676	0.013565286	0.133085809	0.06336201	0.012036108	0.022477784	0.002962963	0.068821503
0.46653144	0.302097902	0.415819605	0.691436139	0.81843829	0.10845284	0.724257426	0.42901361	0.015045135	0.033455306	0.037671958	0.128508889
0.655172414	0.225034965	0.164622035	0.851971748	0.780904251	0.115223908	0.492409241	0.447994902	0.030591775	0.033455306	0.184550265	0.081551643
0.478701826	0.315664336	0.428321066	0.682775582	0.848563648	0.173374075	0.50189769	0.465200965	0.112838516	0.1108207	0.253121693	0
0.567951318	0.627972028	0.657670289	0.819725889	0.838799892	0.163975601	0.588778878	0.592471209	0.091273821	0.03711448	0.076402116	0.113421751
0.167342799	0.012587413	0.018576937	0.022408139	0.092829281	0.056089911	0.594059406	0	0.020561685	0.016204914	0.008465608	0.049022408
0.405679513	0.045874126	0.171398528	0.152274447	0.456737728	0.157968448	0.625165017	0.116891984	0.030090271	0.013591218	0.014179894	0.053177679
0.507099391	0.377622378	0.464890758	0.672370302	0.80982754	0.128314641	0.738778878	0.399335427	0.029588766	0.021955044	0.04952381	0.136733313
0.446247465	0.253146853	0.359738287	0.453396956	0.719696784	0.044689052	0.551485149	0.347079976	0.032597793	0.048614741	0.008465608	0.066345353
0.612576065	0.918881119	0.887837364	0.848482301	0.861369379	0.1187194	0.554950495	0.712731576	0.062688064	0.02456874	0.127407407	0.084996174
0.248478702	0.041538462	0	0.12089044	0.184849005	0.104181858	0	0.255314307	0.017552658	0.031364349	0.00042328	0.051407645
0.40872211	0.251748252	0.373758617	0.326767847	0.784412335	0.081044481	0.500165017	0.43697938	0.150952859	0.113957135	0.034285714	0.23785997
0.45030426	0.242937063	0.366748452	0.571260405	0.827785001	0.123754297	0.533580858	0.426783195	0.030591775	0.044432828	0.03957672	0.15141862
0.382352941	0.152447552	0.288468279	0.648890103	0.654515124	0.084447377	0.431765677	0.415540079	0.048645938	0.044432828	0.017354497	0.135359469
0.489858012	0.398741259	0.492580909	0.929328176	0.806147732	0.146613887	0.751155116	0.444125814	0.026579739	0.043910089	0.032169312	0.116416624
0.568965517	0.621818182	0.666432995	0.939018751	0.913279199	1	0.561138614	0.720879421	0.033099298	0.032932567	0.058201058	0.100391254
0	0.088111888	0.189157612	0.362818465	0.444937811	0.054515782	0.579372937	0.42555419	0.009027081	0.020386827	0.014391534	0.059050589
0.415821501	0.33006993	0.420493048	0.437400151	0.801094129	0.109841777	0.748927393	0.406345305	0.148946841	0.121798223	0.029417989	0
0.452332657	0.307692308	0.402967636	0.705204742	0.787576969	0.12391634	0.693151815	0.426965269	0.0667001	0.083638265	0.02010582	0.243962069
0.403651116	0.212587413	0.328192546	0.754981922	0.67443515	0.11882357	0.719141914	0.459920797	0.043630893	0.013591218	0.019259259	0.07512182
0.219066937	0.005594406	0.105035635	0.01393677	0.181046537	0.082213503	0.519141914	0.060312258	0.019558676	0.028750653	0.028359788	0.0506453
0.54158215	0.254545455	0.36441173	0.685403178	0.80541177	0.213757422	0.586386139	0.438891165	0.044132397	0.051228437	0.052486772	0.129469463
1	0.781818182	0.796705223	0.50519213	0.929445821	0.244128847	0.539356436	0.503026993	0.049147442	0.04913748	0.036825397	0
0.386409736	0.300699301	0.300619231	0.892394686	0.767190835	0.072085836	0.36839934	0.376940234	0.059177533	0.077365395	0.000634921	0.103211417
0.46653144	0.237762238	0.350391401	0.825506601	0.658832765	0.198918944	0.665264026	0.49342255	0.024573721	0.036591741	0.076190476	0.089234366
0.47464503	0.313286713	0.420493048	0.118557134	0.802345264	0.125050638	0.867821782	0.434657927	0.140421264	0.162049137	0.054814815	0.462343872
0.390466531	0.144055944	0.282626475	0.590620533	0.451782254	0.112990034	0.46039604	0.433747553	0.032096289	0.029273393	0.034074074	0.069283605
0.510141988	0.483916084	0.563033065	0.124674178	0.979932782	0.10403139	0.627805281	0.517410897	0.321464393	0.326189232	0.037037037	0.483066558
0.405679513	0.267132867	0.357401566	0.71115362	0.847655963	0.140896096	0.547689769	0.42555419	0.031594784	0.027705175	0.076190476	0.075507791
0.319472617	0.026573427	0.158196051	0.41383587	0.601084317	0	0.412293729	0.021894488	0.040120361	0.059592263	0	0.060388855
0.406693712	0.366293706	0.453908167	0.938682418	0.847655963	0.133037027	0.565841584	0.527880195	0.06218656	0.065342394	0.040846561	0.116950012
0.532454361	0.163076923	0.164622035	0.861830489	0.802467924	0.11574476	0.613448845	0.42555419	0.023570712	0.023523262	0.067724868	0.08220131
0.689655172	0.251748252	0.355064844	0.874421929	0.781296764	0.166799773	0.70519802	1	0.025075226	0.037637219	0.075343915	0.083045867
0.550709939	0.218181818	0.164622035	0.696418061	0.780757059	0.11574476	0.572359736	0.42555419	0.072718154	0.058024046	0	0.133901958
0.447261663	0.166433566	0.298983526	0.478916169	0.54049015	0.989988078	0.773927393	0.489644499	0.071715145	0.090433873	0.002962963	0.065529567
0.703853955	0.777622378	0.800210305	0.775224922	0.855923264	0.120860678	0.636056106	0.437571123	0.078736209	0.090956613	0.035767196	0.125483141
0.537525355	0.560839161	0.619114383	0.183280081	0.821161347	0.112561779	0.919224422	0.57858801	0.187061184	0.212754835	0.019047619	0.439310323
0.409736308	0.318881119	0.414651244	0.778630287	0.798935309	0.148257463	0.650412541	0.429150166	0.074222668	0.070047047	0.015661376	0.121521437
0.706896552	0.538461538	0.602757331	0.865887497	1	0.191476556	0.642161716	0.490554873	0.070712136	0.066910612	0.051428571	0.102578338
0.350912779	0.141258741	0.266269424	0.911586648	0.538503054	0.050603609	0.373844884	0.457599345	0.039618857	0.026659697	0.001904762	0.085671837
